municipio_id,municipio_nome,uf,ano,populacao_estimada
2207777,Patos do Piauí,PI,2021,6420
2207777,Patos do Piauí,PI,2024,5461
2207793,Pau D'Arco do Piauí,PI,2019,4045
2207793,Pau D'Arco do Piauí,PI,2020,4065
2207793,Pau D'Arco do Piauí,PI,2021,4084
2207793,Pau D'Arco do Piauí,PI,2024,3972
2207801,Paulistana,PI,2019,20523
2207801,Paulistana,PI,2020,20554
2207801,Paulistana,PI,2021,20583
2207801,Paulistana,PI,2024,21601
2207850,Pavussu,PI,2019,3677
2207850,Pavussu,PI,2020,3669
2207850,Pavussu,PI,2021,3662
2207850,Pavussu,PI,2024,3698
2207900,Pedro II,PI,2019,38742
